alpha,rev_mae,rev_rmse,rev_r2,cogs_mae,cogs_rmse,cogs_r2,avg_mae
0.9,507777.8872518373,727110.3596588229,0.6470322295121955,475071.9307225709,657969.1015245041,0.5857826122565966,491424.9089872041
0.8,520307.6523468833,750563.7863414258,0.6238945731658616,482633.3614962374,673495.8016554196,0.5660026155402875,501470.5069215604
0.7,536829.1678386759,782047.9796343654,0.5916795007204888,491680.8472209265,692813.5497882555,0.5407490405753059,514255.0075298012
0.6,561110.2733586602,820639.1474772748,0.5503870121760774,504200.52911586355,715615.398331495,0.5100218873616521,532655.4012372618
